year,ISO_code,region,ef_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation
2016,BEL,Western Europe,7.46,4.8,7.1,9.4,8.2,7.9
2016,BLZ,Latin America & the Caribbean,6.84,6.9,5.1,7.2,7.1,7.9
2016,BEN,Sub-Saharan Africa,6.01,6.9,3.8,7.0,6.0,6.3
2016,BTN,South Asia,6.9,6.9,6.87,6.7,6.3,7.7
2016,BOL,Latin America & the Caribbean,6.17,5.9,3.6,9.4,7.0,5.0
2016,BIH,Eastern Europe,6.68,5.7,4.1,8.3,7.8,7.4
2016,BWA,Sub-Saharan Africa,7.32,6.0,6.0,9.1,7.8,7.8
2016,BRA,Latin America & the Caribbean,6.11,5.7,4.6,9.2,7.0,4.1
2016,BRN,South Asia,6.93,5.0,5.35,8.8,7.1,8.4
2016,BGR,Eastern Europe,7.43,7.1,4.8,9.4,8.1,7.6
2016,BFA,Sub-Saharan Africa,6.01,5.8,3.7,7.1,6.5,6.9
2016,BDI,Sub-Saharan Africa,6.27,6.7,3.5,8.8,6.1,6.3
2016,KHM,South Asia,7.38,8.9,4.28,9.3,7.3,7.1
2016,CMR,Sub-Saharan Africa,5.8,7.0,3.2,7.2,5.1,6.5
2016,CAN,North America,8.08,6.5,7.9,9.6,7.9,8.5
2016,CPV,Sub-Saharan Africa,7.11,7.2,6.02,8.1,7.2,7.0
2016,CAF,Sub-Saharan Africa,5.41,7.8,2.7,6.5,4.7,5.4
2016,TCD,Sub-Saharan Africa,5.35,7.3,2.7,6.7,5.1,5.0
2016,CHL,Latin America & the Caribbean,7.85,8.1,6.4,9.3,8.3,7.2
2016,CHN,East Asia,6.4,4.8,5.7,8.5,6.7,6.4
2016,COL,Latin America & the Caribbean,6.63,7.3,3.8,8.0,6.8,7.3
2016,COD,Sub-Saharan Africa,5.78,6.9,2.6,8.1,5.5,5.7
2016,COG,Sub-Saharan Africa,4.87,5.1,3.1,5.6,4.9,5.6
2016,CRI,Latin America & the Caribbean,7.44,7.1,5.9,9.8,8.0,6.4
2016,CIV,Sub-Saharan Africa,6.02,6.1,4.6,7.1,5.7,6.6
2016,HRV,Eastern Europe,6.99,5.1,5.5,9.1,8.2,7.1
2016,CYP,Eastern Europe,7.67,7.1,5.9,9.5,8.3,7.5
2016,CZE,Eastern Europe,7.75,6.7,6.3,9.4,8.2,8.1
2016,DNK,Western Europe,7.88,4.7,8.1,9.9,8.5,8.3
2016,DOM,Latin America & the Caribbean,6.93,6.6,4.0,9.5,7.9,6.6
2016,ECU,Latin America & the Caribbean,6.23,6.5,3.8,8.3,6.5,6.0
2016,EGY,Middle East & North Africa,5.28,5.1,3.9,6.9,5.6,4.8
2016,SLV,Latin America & the Caribbean,7.09,8.2,3.6,9.8,7.7,6.2
2016,EST,Eastern Europe,7.95,6.4,7.4,9.3,8.4,8.2
2016,SWZ,Sub-Saharan Africa,6.37,5.0,4.36,7.7,7.0,7.7
2016,ETH,Sub-Saharan Africa,5.57,5.8,4.6,5.7,5.0,6.6
2016,FJI,Oceania,6.55,5.7,5.3,6.4,6.5,8.8
2016,FIN,Western Europe,7.75,4.6,8.8,9.4,8.2,7.7
2016,FRA,Western Europe,7.32,4.8,6.9,9.5,8.2,7.2
2016,GAB,Sub-Saharan Africa,5.78,5.9,3.9,6.6,5.7,6.8
2016,GMB,Sub-Saharan Africa,7.28,7.2,5.49,9.3,7.5,7.0
2016,GEO,Caucasus & Central Asia,7.88,7.5,6.3,8.9,8.6,8.1
2016,DEU,Western Europe,7.87,6.4,7.4,9.5,8.0,8.0
2016,GHA,Sub-Saharan Africa,6.53,7.9,5.4,5.7,6.5,7.2
2016,GRC,Eastern Europe,6.57,4.7,5.8,8.0,7.7,6.7
2016,GTM,Latin America & the Caribbean,7.63,9.5,4.4,9.6,8.2,6.6
2016,GIN,Sub-Saharan Africa,5.69,5.4,3.23,7.9,5.1,6.9
2016,GNB,Sub-Saharan Africa,5.01,4.9,2.9,6.0,5.7,5.4
2016,GUY,Latin America & the Caribbean,6.34,6.1,4.4,8.3,6.4,6.5
2016,HTI,Latin America & the Caribbean,6.56,8.6,2.5,7.2,7.5,7.0
2016,HND,Latin America & the Caribbean,7.19,9.2,3.4,9.3,7.2,6.8
2016,HKG,East Asia,8.89,8.2,7.9,9.6,9.3,9.4
2016,HUN,Eastern Europe,7.26,5.3,5.9,9.7,8.0,7.4
2016,ISL,Western Europe,7.72,5.8,8.4,9.6,7.2,7.7
2016,IND,South Asia,6.72,8.2,5.2,8.2,5.6,6.5
2016,IDN,South Asia,7.27,8.4,4.9,9.7,7.0,6.4
2016,IRN,Middle East & North Africa,5.74,5.5,4.6,8.4,4.6,5.7
2016,IRQ,Middle East & North Africa,5.34,5.0,2.8,7.2,5.2,6.5
2016,IRL,Western Europe,8.15,6.7,7.7,9.3,8.6,8.5
2016,ISR,Middle East & North Africa,7.5,6.3,6.2,9.4,8.2,7.4
2016,ITA,Western Europe,7.43,6.3,5.7,9.4,8.3,7.5
2016,JAM,Latin America & the Caribbean,7.2,7.5,5.1,8.6,6.9,8.0
2016,JPN,East Asia,7.83,5.7,7.6,9.5,8.1,8.2
2016,JOR,Middle East & North Africa,7.38,7.2,4.8,9.6,7.6,7.8
2016,KAZ,Caucasus & Central Asia,6.99,6.9,5.4,8.6,6.5,7.5
2016,KEN,Sub-Saharan Africa,7.14,7.5,4.9,9.2,6.7,7.4
2016,KOR,East Asia,7.55,7.0,6.4,9.6,7.6,7.2
2016,KWT,Middle East & North Africa,6.5,5.0,4.9,8.3,6.8,7.4
2016,KGZ,Caucasus & Central Asia,6.92,7.0,4.3,9.4,7.3,6.6
2016,LAO,South Asia,6.66,6.6,5.94,7.3,6.8,6.6
2016,LVA,Eastern Europe,7.75,7.0,6.2,9.3,8.4,7.9
2016,LBN,Middle East & North Africa,7.06,8.5,3.95,9.7,6.8,6.4
2016,LSO,Sub-Saharan Africa,6.53,5.4,5.4,7.8,6.5,7.4
2016,LBR,Sub-Saharan Africa,6.68,7.6,4.19,9.4,6.2,6.1
2016,LBY,Middle East & North Africa,4.83,3.4,3.21,6.4,4.8,6.4
2016,LTU,Eastern Europe,7.88,7.3,6.5,9.3,8.2,8.0
2016,LUX,Western Europe,7.79,5.1,8.4,9.3,8.3,7.9
2016,MDG,Sub-Saharan Africa,6.25,7.8,2.8,7.9,6.9,5.8
2016,MWI,Sub-Saharan Africa,5.95,6.4,4.7,6.6,6.1,6.0
2016,MYS,South Asia,7.31,6.3,5.8,8.3,7.5,8.6
2016,MLI,Sub-Saharan Africa,5.89,5.7,3.5,7.2,6.9,6.2
2016,MLT,Western Europe,7.95,7.0,6.6,9.5,8.4,8.2
2016,MRT,Sub-Saharan Africa,6.14,5.9,3.7,8.2,5.9,6.9
2016,MUS,Sub-Saharan Africa,8.0,7.7,6.8,9.6,8.4,7.5
2016,MEX,Latin America & the Caribbean,6.77,7.6,4.1,8.1,7.3,6.8
2016,MDA,Eastern Europe,6.6,6.3,4.3,8.0,7.5,6.9
2016,MNG,East Asia,7.34,7.7,5.6,9.4,6.8,7.3
2016,MNE,Eastern Europe,6.94,6.4,4.9,8.3,8.2,6.9
2016,MAR,Middle East & North Africa,6.58,6.2,5.4,7.2,6.9,7.2
2016,MOZ,Sub-Saharan Africa,5.6,5.3,4.0,7.2,6.4,5.1
2016,MMR,South Asia,5.64,6.7,3.5,6.5,5.7,5.8
2016,NAM,Sub-Saharan Africa,6.52,5.8,6.4,6.1,6.5,7.8
2016,NPL,South Asia,6.45,7.5,4.6,6.4,6.6,7.1
2016,NLD,Western Europe,7.76,4.5,8.2,9.5,8.7,7.9
2016,NZL,Oceania,8.55,6.8,8.7,9.5,8.6,9.2
2016,NIC,Latin America & the Caribbean,7.09,7.1,4.5,9.1,7.8,7.0
2016,NER,Sub-Saharan Africa,5.86,6.7,3.6,7.0,5.5,6.5
2016,NGA,Sub-Saharan Africa,6.85,8.5,3.6,8.7,5.9,7.6
2016,MKD,Eastern Europe,7.18,6.5,5.1,8.1,8.0,8.2
2016,NOR,Western Europe,7.67,4.9,8.7,9.5,7.6,7.7
2016,OMN,Middle East & North Africa,6.73,4.3,5.9,8.8,7.7,6.8
2016,PAK,South Asia,5.93,7.5,3.5,6.6,5.8,6.3
2016,PAN,Latin America & the Caribbean,7.61,7.5,5.2,9.7,8.7,6.9
2016,PNG,Oceania,6.25,6.3,4.1,6.4,7.2,7.3
2016,PRY,Latin America & the Caribbean,6.96,8.3,3.8,9.3,7.3,6.1
2016,PER,Latin America & the Caribbean,7.5,7.5,4.8,9.7,8.2,7.3
2016,PHL,South Asia,7.3,8.3,4.3,9.4,7.1,7.4
2016,POL,Eastern Europe,7.27,6.0,5.6,9.6,7.9,7.3
2016,PRT,Western Europe,7.48,5.9,7.0,9.4,8.4,6.9
2016,QAT,Middle East & North Africa,7.21,5.7,6.24,8.7,7.6,7.8
2016,ROU,Eastern Europe,7.65,6.9,6.0,9.3,8.4,7.6
2016,RUS,Eastern Europe,6.71,6.1,5.0,9.1,6.8,6.5
